date;pre;pet;sol
01/01/2006;0.2;3.970279;592.1
02/01/2006;45;3.970279;592.1
03/01/2006;33.8;3.970279;592.1
04/01/2006;36.6;3.970279;592.1
05/01/2006;1.2;3.970279;592.1
06/01/2006;8.4;3.970279;592.1
07/01/2006;2;3.970279;592.1
08/01/2006;4.6;3.970279;592.1
09/01/2006;1;3.970279;592.1
10/01/2006;0.6;3.970279;592.1
11/01/2006;18;3.970279;592.1
12/01/2006;21.2;3.970279;592.1
13/01/2006;19.2;3.970279;592.1
14/01/2006;42;3.970279;592.1
15/01/2006;4.6;3.970279;592.1
16/01/2006;15.6;3.970279;592.1
17/01/2006;31.4;3.970279;592.1
18/01/2006;18.6;3.970279;592.1
19/01/2006;61.4;3.970279;592.1
20/01/2006;39.2;3.970279;592.1
21/01/2006;12;3.970279;592.1
22/01/2006;49.4;3.970279;592.1
23/01/2006;3.8;3.970279;592.1
24/01/2006;34.8;3.970279;592.1
25/01/2006;54.6;3.970279;592.1
26/01/2006;26.4;3.970279;592.1
27/01/2006;15.8;3.970279;592.1
28/01/2006;17.4;3.970279;592.1
29/01/2006;25.8;3.970279;592.1
30/01/2006;27.6;3.970279;592.1
31/01/2006;32.4;3.970279;592.1
01/02/2006;31.4;3.970279;592.1
02/02/2006;3.6;3.970279;592.1
03/02/2006;21.6;3.970279;592.1
04/02/2006;0;3.970279;592.1
05/02/2006;1.6;3.970279;592.1
06/02/2006;2.4;3.970279;592.1
07/02/2006;3;3.970279;592.1
08/02/2006;1.6;3.970279;592.1
09/02/2006;4.8;3.970279;592.1
10/02/2006;7;3.970279;592.1
11/02/2006;5.4;3.970279;592.1
12/02/2006;0.4;3.970279;592.1
13/02/2006;0.2;3.970279;592.1
14/02/2006;0.4;3.970279;592.1
15/02/2006;13.6;3.970279;592.1
16/02/2006;6.2;3.970279;592.1
17/02/2006;0.2;3.970279;592.1
18/02/2006;19;3.970279;592.1
19/02/2006;28.2;3.970279;592.1
20/02/2006;19.4;3.970279;592.1
21/02/2006;52;3.970279;592.1
22/02/2006;19.4;3.970279;592.1
23/02/2006;1;3.970279;592.1
24/02/2006;6.8;3.970279;592.1
25/02/2006;10;3.970279;592.1
26/02/2006;3.8;3.970279;592.1
27/02/2006;3;3.970279;592.1
28/02/2006;0.8;3.970279;592.1
01/03/2006;0;3.970279;592.1
02/03/2006;10.2;3.970279;592.1
03/03/2006;6.6;3.970279;592.1
04/03/2006;10.2;3.970279;592.1
05/03/2006;1;3.970279;592.1
06/03/2006;19.2;3.970279;592.1
07/03/2006;1.6;3.970279;592.1
08/03/2006;1;3.970279;592.1
09/03/2006;0;3.970279;592.1
10/03/2006;6.4;3.970279;592.1
11/03/2006;5.6;3.970279;592.1
12/03/2006;10.2;3.970279;592.1
13/03/2006;1.2;3.970279;592.1
14/03/2006;0.2;3.970279;592.1
15/03/2006;15.6;3.970279;592.1
16/03/2006;7.6;3.970279;592.1
17/03/2006;74.2;3.970279;592.1
18/03/2006;45;3.970279;592.1
19/03/2006;29.2;3.970279;592.1
20/03/2006;5.4;3.970279;592.1
21/03/2006;0.6;3.970279;592.1
22/03/2006;0;3.970279;592.1
23/03/2006;27;3.970279;592.1
24/03/2006;2.2;3.970279;592.1
25/03/2006;1.2;3.970279;592.1
26/03/2006;3;3.970279;592.1
27/03/2006;0.2;3.970279;592.1
28/03/2006;0.4;3.970279;592.1
29/03/2006;2.6;3.970279;592.1
30/03/2006;0;3.970279;592.1
31/03/2006;0;3.970279;592.1
01/04/2006;0;3.970279;592.1
02/04/2006;0;3.970279;592.1
03/04/2006;0.2;3.970279;592.1
04/04/2006;0.8;3.970279;592.1
05/04/2006;9.2;3.970279;592.1
06/04/2006;0.2;3.970279;592.1
07/04/2006;2.4;3.970279;592.1
08/04/2006;19.8;3.970279;592.1
09/04/2006;22.8;3.970279;592.1
10/04/2006;20.8;3.970279;592.1
11/04/2006;2;3.970279;592.1
12/04/2006;2.8;3.970279;592.1
13/04/2006;1.8;3.970279;592.1
14/04/2006;0.2;3.970279;592.1
15/04/2006;0.2;3.970279;592.1
16/04/2006;75.8;3.970279;592.1
17/04/2006;0.6;3.970279;592.1
18/04/2006;0;3.970279;592.1
19/04/2006;0.4;3.970279;592.1
20/04/2006;0;3.970279;592.1
21/04/2006;2.4;3.970279;592.1
22/04/2006;1.4;3.970279;592.1
23/04/2006;5.2;3.970279;592.1
24/04/2006;7.6;3.970279;592.1
25/04/2006;24.2;3.970279;592.1
26/04/2006;94;3.970279;592.1
27/04/2006;29;3.970279;592.1
28/04/2006;2.2;3.970279;592.1
29/04/2006;15.4;3.970279;592.1
30/04/2006;0;3.970279;592.1
01/05/2006;12;3.970279;592.1
02/05/2006;11.8;3.970279;592.1
03/05/2006;32.6;3.970279;592.1
04/05/2006;10.4;3.970279;592.1
05/05/2006;4.8;3.970279;592.1
06/05/2006;2.4;3.970279;592.1
07/05/2006;4.4;3.970279;592.1
08/05/2006;108.8;3.970279;592.1
09/05/2006;19.2;3.970279;592.1
10/05/2006;39.2;3.970279;592.1
11/05/2006;7.4;3.970279;592.1
12/05/2006;0;3.970279;592.1
13/05/2006;2.4;3.970279;592.1
14/05/2006;74.2;3.970279;592.1
15/05/2006;1.6;3.970279;592.1
16/05/2006;29.2;3.970279;592.1
17/05/2006;2.4;3.970279;592.1
18/05/2006;0;3.970279;592.1
19/05/2006;0.6;3.970279;592.1
20/05/2006;10.4;3.970279;592.1
21/05/2006;0.6;3.970279;592.1
22/05/2006;6.2;3.970279;592.1
23/05/2006;85.6;3.970279;592.1
24/05/2006;11;3.970279;592.1
25/05/2006;42.8;3.970279;592.1
26/05/2006;0.6;3.970279;592.1
27/05/2006;44.2;3.970279;592.1
28/05/2006;12.2;3.970279;592.1
29/05/2006;39.8;3.970279;592.1
30/05/2006;0.2;3.970279;592.1
31/05/2006;50.8;3.970279;592.1
01/06/2006;0.2;3.970279;592.1
02/06/2006;7;3.970279;592.1
03/06/2006;52.4;3.970279;592.1
04/06/2006;34.8;3.970279;592.1
05/06/2006;5.8;3.970279;592.1
06/06/2006;0.8;3.970279;592.1
07/06/2006;1.2;3.970279;592.1
08/06/2006;11.6;3.970279;592.1
09/06/2006;17.4;3.970279;592.1
10/06/2006;56;3.970279;592.1
11/06/2006;15.4;3.970279;592.1
12/06/2006;2.8;3.970279;592.1
13/06/2006;0.4;3.970279;592.1
14/06/2006;0;3.970279;592.1
15/06/2006;8.2;3.970279;592.1
16/06/2006;1;3.970279;592.1
17/06/2006;9.4;3.970279;592.1
18/06/2006;9.4;3.970279;592.1
19/06/2006;2.8;3.970279;592.1
20/06/2006;10.6;3.970279;592.1
21/06/2006;5.2;3.970279;592.1
22/06/2006;4.6;3.970279;592.1
23/06/2006;0.4;3.970279;592.1
24/06/2006;6.4;3.970279;592.1
25/06/2006;16.8;3.970279;592.1
26/06/2006;3;3.970279;592.1
27/06/2006;8.8;3.970279;592.1
28/06/2006;3;3.970279;592.1
29/06/2006;114.6;3.970279;592.1
30/06/2006;0.2;3.970279;592.1
01/07/2006;3.6;3.970279;592.1
02/07/2006;14.8;3.970279;592.1
03/07/2006;2;3.970279;592.1
04/07/2006;10.8;3.970279;592.1
05/07/2006;1.2;3.970279;592.1
06/07/2006;0.2;3.970279;592.1
07/07/2006;0;3.970279;592.1
08/07/2006;1.6;3.970279;592.1
09/07/2006;0.4;3.970279;592.1
10/07/2006;1;3.970279;592.1
11/07/2006;1.6;3.970279;592.1
12/07/2006;34.4;3.970279;592.1
13/07/2006;10.2;3.970279;592.1
14/07/2006;2.2;3.970279;592.1
15/07/2006;19.4;3.970279;592.1
16/07/2006;0.4;3.970279;592.1
17/07/2006;18.6;3.970279;592.1
18/07/2006;0.6;3.970279;592.1
19/07/2006;0;3.970279;592.1
20/07/2006;1.6;3.970279;592.1
21/07/2006;7.8;3.970279;592.1
22/07/2006;20;3.970279;592.1
23/07/2006;0.2;3.970279;592.1
24/07/2006;0.2;3.970279;592.1
25/07/2006;0.6;3.970279;592.1
26/07/2006;0;3.970279;592.1
27/07/2006;0.2;3.970279;592.1
28/07/2006;0.2;3.970279;592.1
29/07/2006;0.6;3.970279;592.1
30/07/2006;10.4;3.970279;592.1
31/07/2006;0.6;3.970279;592.1
01/08/2006;0;3.970279;592.1
02/08/2006;0;3.970279;592.1
03/08/2006;0.8;3.970279;592.1
04/08/2006;1.4;3.970279;592.1
05/08/2006;0.2;3.970279;592.1
06/08/2006;14;3.970279;592.1
07/08/2006;6.4;3.970279;592.1
08/08/2006;0;3.970279;592.1
09/08/2006;0;3.970279;592.1
10/08/2006;0;3.970279;592.1
11/08/2006;0.4;3.970279;592.1
12/08/2006;1.4;3.970279;592.1
13/08/2006;7;3.970279;592.1
14/08/2006;7.2;3.970279;592.1
15/08/2006;0;3.970279;592.1
16/08/2006;1.2;3.970279;592.1
17/08/2006;11;3.970279;592.1
18/08/2006;0;3.970279;592.1
19/08/2006;0;3.970279;592.1
20/08/2006;0;3.970279;592.1
21/08/2006;3.6;3.970279;592.1
22/08/2006;0.2;3.970279;592.1
23/08/2006;3.4;3.970279;592.1
24/08/2006;0.2;3.970279;592.1
25/08/2006;0;3.970279;592.1
26/08/2006;0;3.970279;592.1
27/08/2006;0.4;3.970279;592.1
28/08/2006;0;3.970279;592.1
29/08/2006;0.2;3.970279;592.1
30/08/2006;0;3.970279;592.1
31/08/2006;0;3.970279;592.1
01/09/2006;0;3.970279;592.1
02/09/2006;0;3.970279;592.1
03/09/2006;2.2;3.970279;592.1
04/09/2006;0;3.970279;592.1
05/09/2006;0;3.970279;592.1
06/09/2006;0;3.970279;592.1
07/09/2006;0;3.970279;592.1
08/09/2006;0;3.970279;592.1
